word,lemma,freq
the,the,25131726
even,even,415055
men,man,177630
least,least,132652
police,police,99926
quite,quite,79205
include,include,65764
knowledge,knowledge,57974
set,set,50862
doctor,doctor,46091
build,build,41890
surface,surface,38928
less,less,36016
soldiers,soldier,33270
na,na,31026
united,united,29102
runs,run,27499
farm,farm,26032
thin,thin,24418
views,view,23085
essential,essential,21803
upper,upper,20742
earlier,early,19735
waste,waste,18753
caused,cause,17794
approximately,approximately,17073
hat,hat,16255
bike,bike,15603
indians,indian,14987
devices,device,14373
sounds,sound,13867
draft,draft,13251
exists,exist,12834
married,marry,12343
mere,mere,11879
okay,okay,11437
joins,join,11085
wake,wake,10755
fathers,father,10427
opinions,opinion,10107
boards,board,9811
conversations,conversation,9488
topics,topic,9156
plot,plot,8890
entitled,entitle,8611
lip,lip,8380
fires,fire,8140
civilians,civilian,7917
readily,readily,7736
determination,determination,7560
rage,rage,7385
initiatives,initiative,7187
occasions,occasion,7014
inside,inside,6827
tribe,tribe,6630
manufacturer,manufacturer,6493
citizenship,citizenship,6344
embrace,embrace,6205
voluntary,voluntary,6065
driveway,driveway,5927
occupied,occupy,5813
flash,flash,5682
bizarre,bizarre,5579
boost,boost,5438
confirmed,confirm,5321
hurt,hurt,5207
flu,flu,5099
eighteen,eighteen,4981
store,store,4879
backed,back,4767
continually,continually,4650
attacked,attack,4565
wrapped,wrap,4477
cooperate,cooperate,4385
trace,trace,4311
dismissed,dismiss,4223
helicopters,helicopter,4146
pounding,pounding,4055
poison,poison,3989
worried,worry,3909
delay,delay,3835
develops,develop,3766
psychiatrist,psychiatrist,3697
saddle,saddle,3636
stretched,stretch,3572
continuity,continuity,3509
precedent,precedent,3450
prefers,prefer,3392
pitchers,pitcher,3337
cockpit,cockpit,3283
delayed,delay,3233
bombings,bombing,3185
goodbye,goodbye,3130
markers,marker,3082
higher,high,3039
canopy,canopy,2999
triple,triple,2958
fringe,fringe,2905
fries,fry,2858
respectable,respectable,2817
glances,glance,2767
measures,measure,2722
scottish,scottish,2680
ambiguity,ambiguity,2643
onstage,onstage,2606
automated,automated,2566
veil,veil,2527
freed,free,2494
relaxed,relax,2458
cartoons,cartoon,2418
premium,premium,2385
melted,melt,2351
downward,downward,2310
disagreed,disagree,2277
revive,revive,2240
inflammation,inflammation,2210
anguish,anguish,2183
poisoning,poisoning,2154
fulfillment,fulfillment,2128
lest,lest,2098
drill,drill,2070
pleasing,pleasing,2043
pilgrimage,pilgrimage,2015
pineapple,pineapple,1987
martian,martian,1964
brochure,brochure,1938
frame,frame,1915
canon,canon,1891
insure,insure,1864
granny,granny,1843
powdered,powdered,1821
fishes,fish,1797
might,might,1774
awakened,awaken,1754
nightclub,nightclub,1733
sane,sane,1709
orientations,orientation,1691
bloom,bloom,1668
hydraulic,hydraulic,1649
muster,muster,1627
strewn,strew,1610
lofty,lofty,1591
coarsely,coarsely,1572
deserted,desert,1554
